,arrest,black,perceivedage,gender,trafficstop,raceperceivedpriortostop,tract_distancefromcal,tract_medianincome,tract_annualstops,tract_nonwhitecomp
434,0,0,40,1,1,0,1.009877144,71352,436,0.377806286
435,1,0,1,1,1,1,1.0,1,1,1.0
436,0,0,33,1,1,0,1.009877144,71352,436,0.377806286
437,0,0,40,2,0,0,1.942700556,87321,213,0.603130755
438,1,0,25,1,1,1,1.942700556,87321,213,0.603130755
439,0,1,35,1,0,1,1.942700556,87321,213,0.603130755
440,0,1,20,1,0,1,1.942700556,87321,213,0.603130755
441,0,0,23,2,1,0,1.942700556,87321,213,0.603130755
442,0,1,30,1,1,0,1.942700556,87321,213,0.603130755
443,0,1,50,1,1,0,1.942700556,87321,213,0.603130755
444,0,1,30,1,1,0,1.942700556,87321,213,0.603130755
445,0,1,25,1,1,0,1.942700556,87321,213,0.603130755
446,0,0,25,1,1,0,1.942700556,87321,213,0.603130755
447,1,0,1,1,1,1,1.0,1,1,1.0
448,1,0,1,1,1,1,1.0,1,1,1.0
